"YR_MTH","VEHICLE_CLASS_CODE","CODE","NO_VALID_LEARNER","NO_VALID_FULL_LIC","NO_EXP_LEARNER","NO_EXP_NOVER_3YR","NO_EXP_OVER_3YR"
"201511","32","17",146,23599,1169,283,2179
"201511","3","6",0,219373,0,5141,59124
"201511","27","2",47732,1421554,510236,36033,595293
"201511","10","4",3484,189998,54171,4958,56460
"201511","1","1",56973,2139478,381749,58211,692039
"201511","33","20",1295,44686,52971,430,2881
"201511","2","3",5774,273609,76114,8620,68735
"201511","6","21",0,12875,0,73,421
"201512","33","20",1329,44721,52998,431,2890
"201512","10","4",3450,190069,54300,5014,56549
"201512","31","15",0,0,0,0,4
"201512","4","9",5959,137959,168226,2021,14403
"201512","2","3",5807,274512,76194,8755,68840
"201512","6","21",0,12937,0,75,423
"201512","29","19",7347,102903,204485,3737,43087
"201512","32","17",125,23652,1174,289,2183
"201512","7","16",687,31859,4497,38,3831
"201512","3","6",0,219440,0,5234,59217
"201512","30","10",5962,137998,168340,2212,18699
"201512","1","1",56718,2146592,381447,58359,692968
"201512","34","22",5779,274507,66296,8755,42772
"201512","28","18",5114,192905,114777,4129,47029
"201512","9","5",4267,184256,54649,4830,52705
"201512","27","2",47892,1424103,510380,36038,595889
"201601","31","15",0,0,0,0,4
"201601","1","1",56322,2153272,381657,58700,694028
"201601","6","21",0,12980,0,80,424
"201601","34","22",5677,275460,66478,8894,42891
"201601","29","19",7201,102901,204831,3760,43168
"201601","3","6",0,219561,0,5265,59346
"201601","10","4",3377,190133,54429,5033,56660
"201601","32","17",125,23698,1177,297,2185
"201601","2","3",5704,275465,76378,8894,68955
"201601","28","18",5010,192981,114994,4156,47116
"201601","7","16",686,31952,4497,34,3833
"201601","4","9",5828,138100,168491,2026,14450
"201601","30","10",5830,138136,168605,2214,18752
"201601","33","20",1279,44751,53061,435,2897
"201601","27","2",47832,1426223,510943,36116,596596
"201601","9","5",4293,184200,54801,4846,52814
"201602","29","19",7212,102936,205008,3762,43248
"201602","6","21",0,13047,0,78,428
"201602","2","3",5778,276091,76444,9005,69059
"201602","34","22",5750,276086,66548,9005,42996
"201602","7","16",695,32003,4492,33,3835
"201602","9","5",4360,184142,54902,4873,52909
"201602","33","20",1276,44788,53077,434,2912
